date_collec,punches,punch_diam_mm2,treatment,replicate,weight_mg,abs_647.3,abs_664.2,measure_date,blank_callib,prepared_date,chlA,chlB
2/14/2023,5,4,C,2,19.56,0,0.073,4/11/2023,32,4/4/2023,0.93,0.59
2/14/2023,5,4,C,3,19.71,0.017,0.09,4/11/2023,32,4/4/2023,1.10,1.08
2/14/2023,5,4,C,4,22.27,0.018,0.093,4/11/2023,32,4/4/2023,1.13,1.12
2/14/2023,5,4,C,5,21.16,0.028,0.101,4/11/2023,32,4/4/2023,1.20,1.40
2/14/2023,5,4,C,6,20.86,0.018,0.092,4/11/2023,32,4/4/2023,1.12,1.12
2/14/2023,5,4,C,7,22.7,0.015,0.09,4/11/2023,32,4/4/2023,1.10,1.04
2/14/2023,5,4,C,8,19.98,0.009,0.083,4/11/2023,32,4/4/2023,1.03,0.86
2/14/2023,5,4,C,9,22.52,0.041,0.114,4/11/2023,32,4/4/2023,1.33,1.77
2/14/2023,5,4,C,10,23.6,0.023,0.096,4/11/2023,32,4/4/2023,1.16,1.25
2/14/2023,5,4,C,11,22.3,0.012,0.085,4/11/2023,32,4/4/2023,1.05,0.94
2/14/2023,5,4,C,12,23.39,0.004,0.076,4/11/2023,32,4/4/2023,0.95,0.70
2/14/2023,5,4,C,13,20.81,0.013,0.088,4/11/2023,32,4/4/2023,1.08,0.98
2/14/2023,5,4,C,14,20.87,0.007,0.077,4/11/2023,32,4/4/2023,0.96,0.77
2/14/2023,5,4,C,15,21.3,0.014,0.088,4/11/2023,32,4/4/2023,1.08,1.00
2/14/2023,5,4,C,16,21.33,0.011,0.085,4/11/2023,32,4/4/2023,1.05,0.91
2/14/2023,5,4,C,17,22.17,0.017,0.09,4/11/2023,32,4/4/2023,1.10,1.08
2/14/2023,5,4,C,18,21.8,0.013,0.087,4/11/2023,32,4/4/2023,1.07,0.97
2/14/2023,4,4,C,19,16.76,0.024,0.101,4/11/2023,32,4/4/2023,1.22,1.31
2/14/2023,5,4,C,20,19.62,0.01,0.086,4/11/2023,32,4/4/2023,1.06,0.90
2/21/2023,5,4,A,1,18.34,0.018,0.09,4/11/2023,36,4/4/2023,1.09,1.10
2/21/2023,5,4,A,2,22.55,0.017,0.09,4/11/2023,36,4/4/2023,1.10,1.08
2/21/2023,5,4,A,3,19.38,0.015,0.089,4/11/2023,36,4/4/2023,1.09,1.03
2/21/2023,5,4,A,4,20.71,0.02,0.094,4/11/2023,36,4/4/2023,1.14,1.17
2/21/2023,5,4,A,5,24.78,0.017,0.087,4/11/2023,36,4/4/2023,1.06,1.05
2/21/2023,5,4,A,6,24.55,0.02,0.093,4/11/2023,36,4/4/2023,1.13,1.17
2/21/2023,5,4,A,7,19.13,0.015,0.09,4/11/2023,36,4/4/2023,1.10,1.04
2/21/2023,5,4,A,8,22.64,0.012,0.085,4/11/2023,36,4/4/2023,1.05,0.94
2/21/2023,5,4,A,9,21.33,0.016,0.09,4/11/2023,36,4/4/2023,1.10,1.06
2/21/2023,5,4,A,10,19.54,0.016,0.091,4/11/2023,36,4/4/2023,1.11,1.07
2/21/2023,5,4,A,11,22.18,0.019,0.093,4/11/2023,36,4/4/2023,1.13,1.14
2/21/2023,5,4,A,12,19.87,0.018,0.093,4/11/2023,36,4/4/2023,1.13,1.12
2/21/2023,5,4,A,13,20.79,0.025,0.098,4/11/2023,36,4/4/2023,1.17,1.31
2/21/2023,5,4,A,14,19.42,0.021,0.09,4/11/2023,36,4/4/2023,1.08,1.16
2/21/2023,5,4,A,15,20.78,0.015,0.089,4/11/2023,36,4/4/2023,1.09,1.03
2/21/2023,5,4,A,16,24.64,0.018,0.092,4/11/2023,36,4/4/2023,1.12,1.12
2/21/2023,5,4,A,17,23.34,0.003,0.076,4/11/2023,36,4/4/2023,0.96,0.68
2/21/2023,5,4,A,18,21.94,0.013,0.087,4/11/2023,36,4/4/2023,1.07,0.97
2/21/2023,5,4,A,19,21.12,0.014,0.087,4/11/2023,36,4/4/2023,1.07,0.99
2/21/2023,5,4,A,20,22.54,0.019,0.089,4/11/2023,36,4/4/2023,1.08,1.11
2/21/2023,5,4,C,1,18.15,0.038,0.108,4/18/2023,30,4/11/2023,1.27,1.66
2/21/2023,5,4,C,2,19.46,0.039,0.108,4/18/2023,30,4/11/2023,1.26,1.68
2/21/2023,5,4,C,3,21.63,0.031,0.102,4/18/2023,30,4/11/2023,1.21,1.47
2/21/2023,5,4,C,4,21.86,0.036,0.107,4/18/2023,30,4/11/2023,1.26,1.61
2/21/2023,5,4,C,5,22.18,0.035,0.104,4/18/2023,30,4/11/2023,1.22,1.56
2/21/2023,5,4,C,6,17.4,0.033,0.102,4/18/2023,30,4/11/2023,1.20,1.51
2/21/2023,5,4,C,7,20.25,0.029,0.1,4/18/2023,30,4/11/2023,1.19,1.41
2/21/2023,5,4,C,8,19.55,0.035,0.106,4/18/2023,30,4/11/2023,1.25,1.58
2/21/2023,5,4,C,9,21.54,0.03,0.102,4/18/2023,30,4/11/2023,1.21,1.45
2/21/2023,5,4,C,10,19.1,0.042,0.109,4/18/2023,30,4/11/2023,1.27,1.75
2/21/2023,5,4,C,11,19.26,0.039,0.11,4/18/2023,30,4/11/2023,1.29,1.70
2/21/2023,5,4,C,12,21.04,0.032,0.103,4/18/2023,30,4/11/2023,1.22,1.49
2/21/2023,5,4,C,13,20.42,0.038,0.109,4/18/2023,30,4/11/2023,1.28,1.67
2/21/2023,5,4,C,14,19.77,0.039,0.111,4/18/2023,30,4/11/2023,1.30,1.70
2/21/2023,5,4,C,15,20,0.039,0.107,4/18/2023,30,4/11/2023,1.25,1.67
2/21/2023,5,4,C,16,19.65,0.034,0.106,4/18/2023,30,4/11/2023,1.25,1.56
2/21/2023,5,4,C,17,20.32,0.036,0.107,4/18/2023,30,4/11/2023,1.26,1.61
2/21/2023,5,4,C,18,17.99,0.036,0.105,4/18/2023,30,4/11/2023,1.23,1.59
2/21/2023,5,4,C,19,20.39,0.028,0.097,4/18/2023,30,4/11/2023,1.15,1.36
2/21/2023,5,4,C,20,19.8,0.033,0.105,4/18/2023,30,4/11/2023,1.24,1.53
2/28/2023,5,4,A,1,22.18,0.028,0.098,4/18/2023,30,4/11/2023,1.17,1.37
2/28/2023,5,4,A,2,19.55,0.039,0.106,4/18/2023,30,4/11/2023,1.24,1.66
2/28/2023,5,4,A,3,20.48,0.034,0.105,4/18/2023,30,4/11/2023,1.24,1.55
2/28/2023,5,4,A,4,21.28,0.028,0.094,4/18/2023,30,4/11/2023,1.12,1.34
2/28/2023,5,4,A,5,24.18,0.031,0.099,4/18/2023,30,4/11/2023,1.17,1.44
2/28/2023,5,4,A,6,24.69,0.036,0.103,4/18/2023,30,4/11/2023,1.21,1.58
2/28/2023,5,4,A,7,25.66,0.038,0.108,4/18/2023,30,4/11/2023,1.27,1.66
2/28/2023,5,4,A,8,21.72,0.026,0.093,4/18/2023,30,4/11/2023,1.11,1.29
2/28/2023,5,4,A,9,23.08,0.043,0.113,4/18/2023,30,4/11/2023,1.32,1.80
2/28/2023,5,4,A,10,21.98,0.036,0.105,4/18/2023,30,4/11/2023,1.23,1.59
2/28/2023,5,4,A,11,21.87,0.049,0.118,4/18/2023,30,4/11/2023,1.36,1.97
2/28/2023,5,4,A,12,26,0.032,0.102,4/18/2023,30,4/11/2023,1.21,1.49
2/28/2023,5,4,A,13,27.78,0.036,0.105,4/18/2023,30,4/11/2023,1.23,1.59
2/28/2023,5,4,A,14,25.03,0.034,0.101,4/18/2023,30,4/11/2023,1.19,1.52
2/28/2023,5,4,A,15,19.36,0.034,0.105,4/18/2023,30,4/11/2023,1.24,1.55
2/28/2023,5,4,A,16,17.61,0.031,0.097,4/18/2023,30,4/11/2023,1.15,1.43
2/28/2023,5,4,A,17,23.22,0.041,0.111,4/18/2023,30,4/11/2023,1.30,1.75
2/28/2023,5,4,A,18,23.22,0.033,0.104,4/18/2023,30,4/11/2023,1.23,1.52
2/28/2023,5,4,A,19,23.67,0.036,0.105,4/18/2023,30,4/11/2023,1.23,1.59
2/28/2023,5,4,A,20,23.79,0.026,0.096,4/18/2023,30,4/11/2023,1.15,1.31
2/28/2023,5,4,C,1,19.06,0.035,0.109,4/27/2023,,4/18/2023,1.29,1.61
2/28/2023,5,4,C,2,20.92,0.036,0.106,4/27/2023,,4/18/2023,1.25,1.60
2/28/2023,5,4,C,3,21.5,0.031,0.104,4/27/2023,,4/18/2023,1.23,1.48
2/28/2023,5,4,C,4,19.15,0.029,0.096,4/27/2023,,4/18/2023,1.14,1.38
2/28/2023,5,4,C,5,18.11,0.039,0.102,4/27/2023,,4/18/2023,1.19,1.63
2/28/2023,5,4,C,6,15.98,0.032,0.102,4/27/2023,,4/18/2023,1.21,1.49
2/28/2023,5,4,C,7,17.77,0.031,0.103,4/27/2023,,4/18/2023,1.22,1.47
2/28/2023,5,4,C,8,19.23,0.036,0.106,4/27/2023,,4/18/2023,1.25,1.60
2/28/2023,5,4,C,9,19.75,0.038,0.106,4/27/2023,,4/18/2023,1.24,1.64
2/28/2023,5,4,C,10,18.53,0.034,0.104,4/27/2023,,4/18/2023,1.23,1.54
2/28/2023,5,4,C,11,16.6,0.044,0.113,4/27/2023,,4/18/2023,1.31,1.82
2/28/2023,5,4,C,12,20.41,0.029,0.097,4/27/2023,,4/18/2023,1.15,1.38
2/28/2023,5,4,C,13,19.24,0.035,0.103,4/27/2023,,4/18/2023,1.21,1.56
2/28/2023,5,4,C,14,18.45,0.031,0.101,4/27/2023,,4/18/2023,1.20,1.46
2/28/2023,5,4,C,15,18.09,0.038,0.105,4/27/2023,,4/18/2023,1.23,1.64
2/28/2023,5,4,C,16,17.88,0.031,0.099,4/27/2023,,4/18/2023,1.17,1.44
2/28/2023,5,4,C,17,18.37,0.032,0.099,4/27/2023,,4/18/2023,1.17,1.46
2/28/2023,5,4,C,18,18.46,0.034,0.103,4/27/2023,,4/18/2023,1.21,1.54
2/28/2023,5,4,C,19,22.23,0.032,0.104,4/27/2023,,4/18/2023,1.23,1.50
2/28/2023,5,4,C,20,16.96,0.032,0.101,4/27/2023,,4/18/2023,1.19,1.48
7/3/2023,5,4,A,1,17.27,0.037,0.105,4/27/2023,,4/18/2023,1.23,1.61
7/3/2023,5,4,A,2,22.57,0.046,0.116,4/27/2023,,4/18/2023,1.34,1.89
7/3/2023,5,4,A,3,21.26,0.041,0.11,4/27/2023,,4/18/2023,1.28,1.74
7/3/2023,5,4,A,4,18.55,0.045,0.115,4/27/2023,,4/18/2023,1.33,1.86
7/3/2023,5,4,A,5,20.2,0.039,0.11,4/27/2023,,4/18/2023,1.29,1.70
7/3/2023,5,4,A,6,22.06,0.043,0.11,4/27/2023,,4/18/2023,1.28,1.78
7/3/2023,5,4,A,7,22.91,0.036,0.106,4/27/2023,,4/18/2023,1.25,1.60
7/3/2023,5,4,A,8,24.39,0.039,0.107,4/27/2023,,4/18/2023,1.25,1.67
7/3/2023,5,4,A,9,20.97,0.035,0.104,4/27/2023,,4/18/2023,1.22,1.56
7/3/2023,5,4,A,10,18.64,0.036,0.106,4/27/2023,,4/18/2023,1.25,1.60
7/3/2023,5,4,A,11,21.31,0.042,0.112,4/27/2023,,4/18/2023,1.31,1.77
7/3/2023,5,4,A,12,20.73,0.038,0.11,4/27/2023,,4/18/2023,1.29,1.68
7/3/2023,5,4,A,13,25.71,0.038,0.109,4/27/2023,,4/18/2023,1.28,1.67
7/3/2023,5,4,A,14,25.81,0.042,0.112,4/27/2023,,4/18/2023,1.31,1.77
7/3/2023,5,4,A,15,26.56,0.038,0.108,4/27/2023,,4/18/2023,1.27,1.66
7/3/2023,5,4,A,16,22.8,0.039,0.108,4/27/2023,,4/18/2023,1.26,1.68
7/3/2023,5,4,A,17,22.46,0.039,0.109,4/27/2023,,4/18/2023,1.28,1.69
7/3/2023,5,4,A,18,31.92,0.041,0.11,4/27/2023,,4/18/2023,1.28,1.74
7/3/2023,5,4,A,19,23.59,0.031,0.099,4/27/2023,,4/18/2023,1.17,1.44
7/3/2023,5,4,A,20,23.1,0.037,0.106,4/27/2023,,4/18/2023,1.24,1.62
7/3/2023,5,4,C,1,16.9,0.047,0.114,4/27/2023,,4/18/2023,1.32,1.89
7/3/2023,5,4,C,2,18.81,0.046,0.111,4/27/2023,,4/18/2023,1.28,1.85
7/3/2023,5,4,C,3,23.46,0.046,0.113,4/27/2023,,4/18/2023,1.31,1.87
7/3/2023,5,4,C,4,18.88,0.044,0.11,4/27/2023,,4/18/2023,1.27,1.80
7/3/2023,5,4,C,5,16.98,0.051,0.117,4/27/2023,,4/18/2023,1.34,2.00
7/3/2023,5,4,C,6,15.57,0.05,0.188,4/27/2023,,4/18/2023,2.25,2.55
7/3/2023,5,4,C,7,17.82,0.042,0.109,4/27/2023,,4/18/2023,1.27,1.75
7/3/2023,5,4,C,8,16.8,0.043,0.112,4/27/2023,,4/18/2023,1.30,1.80
7/3/2023,5,4,C,9,16.8,0.054,0.112,4/27/2023,,4/18/2023,1.27,2.02
7/3/2023,5,4,C,10,19.08,0.049,0.117,4/27/2023,,4/18/2023,1.35,1.96
7/3/2023,5,4,C,11,16.74,0.041,0.109,4/27/2023,,4/18/2023,1.27,1.73
7/3/2023,5,4,C,12,18.04,0.044,0.112,4/27/2023,,4/18/2023,1.30,1.82
7/3/2023,5,4,C,13,17.69,0.054,0.12,4/27/2023,,4/18/2023,1.37,2.09
7/3/2023,5,4,C,14,14.31,0.045,0.113,4/27/2023,,4/18/2023,1.31,1.84
7/3/2023,5,4,C,15,16.93,0.049,0.115,4/27/2023,,4/18/2023,1.32,1.94
7/3/2023,5,4,C,16,15.95,0.045,0.112,4/27/2023,,4/18/2023,1.30,1.84
7/3/2023,5,4,C,17,16.89,0.048,0.115,4/27/2023,,4/18/2023,1.33,1.92
7/3/2023,5,4,C,18,18.4,0.048,0.115,4/27/2023,,4/18/2023,1.33,1.92
7/3/2023,5,4,C,19,16.4,0.052,0.117,4/27/2023,,4/18/2023,1.34,2.02
7/3/2023,5,4,C,20,18.53,0.047,0.113,4/27/2023,,4/18/2023,1.30,1.89
